size1,size3, size3, timestamp,
, ,17,1557393669,
18, , ,1557393670,
,22, ,1557393671,
, ,17,1557393672,
18, , ,1557393672,
,17, ,1557393673,
, ,16,1557393674,
18, , ,1557393674,
,16, ,1557393675,
, ,17,1557393676,
19, , ,1557393676,
,17, ,1557393677,
, ,17,1557393678,
19, , ,1557393678,
,16, ,1557393679,
, ,17,1557393680,
18, , ,1557393680,
,17, ,1557393681,
, ,17,1557393682,
18, , ,1557393682,
,17, ,1557393683,
, ,18,1557393684,
18, , ,1557393685,
,16, ,1557393685,
, ,17,1557393686,
18, , ,1557393687,
,16, ,1557393687,
, ,16,1557393688,
17, , ,1557393689,
,17, ,1557393689,
, ,17,1557393690,
18, , ,1557393691,
,17, ,1557393691,
, ,17,1557393692,
18, , ,1557393693,
,17, ,1557393693,
,17, ,1557393716,
, ,17,1557393717,
18, , ,1557393717,
,17, ,1557393718,
, ,17,1557393719,
18, , ,1557393719,
,16, ,1557393720,
, ,17,1557393721,
23, , ,1557393721,
,17, ,1557393722,
, ,17,1557393723,
19, , ,1557393724,
,17, ,1557393724,
, ,17,1557393725,
19, , ,1557393726,
,17, ,1557393726,
, ,17,1557393727,
18, , ,1557393728,
,17, ,1557393728,
, ,17,1557393729,
18, , ,1557393730,
,16, ,1557393730,
, ,17,1557393731,
18, , ,1557393732,
,17, ,1557393732,
, ,17,1557393733,
18, , ,1557393734,
,19, ,1557393734,
, ,17,1557393735,
19, , ,1557393736,
,20, ,1557393737,
, ,17,1557393737,
18, , ,1557393738,
,17, ,1557393739,
, ,17,1557393739,
18, , ,1557393740,
,17, ,1557393741,
, ,17,1557393741,
18, , ,1557393742,
,17, ,1557393743,
, ,17,1557393743,
18, , ,1557393744,
,16, ,1557393745,
, ,17,1557393745,
18, , ,1557393746,
,17, ,1557393747,
, ,17,1557393747,
18, , ,1557393748,
,17, ,1557393749,
, ,17,1557393750,
18, , ,1557393750,
,17, ,1557393751,
, ,20,1557393752,
18, , ,1557393752,
,17, ,1557393753,
, ,17,1557393754,
18, , ,1557393754,
,17, ,1557393755,
, ,17,1557393756,
18, , ,1557393756,
,17, ,1557393757,
, ,17,1557393758,
18, , ,1557393758,
,19, ,1557393759,
, ,17,1557393760,
18, , ,1557393760,
,17, ,1557393761,
, ,17,1557393762,
18, , ,1557393763,
,17, ,1557393763,
, ,17,1557393764,
18, , ,1557393765,
,17, ,1557393765,
, ,17,1557393766,
18, , ,1557393767,
,20, ,1557393767,
, ,17,1557393768,
18, , ,1557393769,
,16, ,1557393769,
, ,17,1557393770,
18, , ,1557393771,
,17, ,1557393771,
, ,17,1557393772,
18, , ,1557393773,
,17, ,1557393774,
, ,17,1557393774,
18, , ,1557393775,
,17, ,1557393776,
, ,17,1557393776,
18, , ,1557393777,
,17, ,1557393778,
, ,17,1557393778,
18, , ,1557393779,
,19, ,1557393780,
, ,17,1557393780,
18, , ,1557393781,
,18, ,1557393782,
, ,17,1557393782,
19, , ,1557393783,
,17, ,1557393784,
, ,17,1557393784,
17, , ,1557393785,
,17, ,1557393786,
, ,17,1557393786,
18, , ,1557393787,
,17, ,1557393788,
, ,17,1557393789,
18, , ,1557393789,
,17, ,1557393790,
, ,17,1557393791,
18, , ,1557393791,
,17, ,1557393792,
, ,17,1557393793,
18, , ,1557393793,
,17, ,1557393794,
, ,18,1557393795,
20, , ,1557393795,
,20, ,1557393796,
, ,17,1557393797,
18, , ,1557393797,
,17, ,1557393798,
, ,17,1557393799,
18, , ,1557393800,
,17, ,1557393800,
, ,17,1557393801,
18, , ,1557393802,
,17, ,1557393802,
, ,17,1557393803,
18, , ,1557393804,
,17, ,1557393804,
, ,17,1557393805,
18, , ,1557393806,
,17, ,1557393806,
, ,17,1557393807,
18, , ,1557393808,
,17, ,1557393808,
, ,17,1557393809,
18, , ,1557393810,
,17, ,1557393810,
, ,17,1557393811,
22, , ,1557393812,
,17, ,1557393813,
, ,17,1557393813,
19, , ,1557393814,
,17, ,1557393815,
, ,17,1557393815,
19, , ,1557393816,
,17, ,1557393817,
, ,17,1557393817,
18, , ,1557393818,
,17, ,1557393819,
, ,17,1557393819,
18, , ,1557393820,
,17, ,1557393821,
, ,16,1557393821,
18, , ,1557393822,
,17, ,1557393823,
, ,17,1557393823,
18, , ,1557393824,
,17, ,1557393825,
, ,17,1557393826,
19, , ,1557393826,
,18, ,1557393827,
, ,17,1557393828,
